  Action  ,  Company Number  ,  Account Number  ,  Site  ,  Container Group  ,  Existing Effective Date  ,  New Effective Date  ,  Close Date  ,  Charge Code  ,  Charge Type  ,  Charge Method  ,  Tax App Code  ,  Existing Charge Rate  ,  New Charge Rate  ,  Transaction Code  ,  Reason Code  ,  Competitor Code  ,  Contract CSA#  ,  Lead Source  ,
CHANGE,923,49571,1,1,9/6/2014,7/21/2017,1/1/1900,RES,R,F,4,27,28.08,3,64,N/A,RM160700PL,V,Row not found in BIPCCR*
CHANGE,923,49872,2,1,6/1/2015,8/16/2017,1/1/1900,RES,R,F,4,27,28.08,3,64,N/A,RM160700PN,V,Row not found in BIPCCR*
CHANGE,923,50609,2,1,6/30/2016,7/25/2017,1/1/1900,RES,R,F,1,21,23.1,3,64,N/A,RM160700PS,V,Row not found in BIPCCR*
CHANGE,923,50609,3,1,6/30/2016,7/25/2017,1/1/1900,REC,R,F,0,12,13.2,3,64,N/A,RM160700PS,V,Row not found in BIPCCR*
CHANGE,923,50839,1,2,2/1/2015,7/25/2017,1/1/1900,RES,R,F,4,27,28.08,3,64,N/A,RM160700PZ,V,Row not found in BIPCCR*
CHANGE,923,51023,1,1,10/7/2014,7/21/2017,1/1/1900,RES,R,F,4,27,28.08,3,64,N/A,RM160700Q1,V,Row not found in BIPCCR*
CHANGE,923,51718,1,1,12/1/2015,7/21/2017,1/1/1900,RES,R,F,1,33,34.32,3,64,N/A,RM160700QA,V,Row not found in BIPCCR*
CHANGE,923,51831,1,1,12/1/2015,7/22/2017,1/1/1900,RES,R,F,1,21,21.84,3,64,N/A,RM160700QC,V,Row not found in BIPCCR*
CHANGE,923,5076948,1,1,1/1/2015,7/22/2017,1/1/1900,R19,R,F,4,432,449.28,3,64,N/A,RM160700QK,V,Row not found in BIPCCR*
CHANGE,923,5188651,1,4,1/1/2015,8/7/2017,1/1/1900,RES,R,F,4,100,110,3,64,N/A,RM160700QM,V,Row not found in BIPCCR*
CHANGE,923,5272620,2,4,9/1/2014,7/25/2017,1/1/1900,RES,R,F,1,30,31.2,3,64,N/A,RM160700QN,V,Row not found in BIPCCR*
CHANGE,923,5812714,1,3,12/1/2014,8/23/2017,1/1/1900,RES,R,F,4,33,34.32,3,64,N/A,RM160700QP,V,Row not found in BIPCCR*
CHANGE,923,5814892,1,2,9/1/2014,7/28/2017,1/1/1900,RES,R,F,4,30,31.2,3,64,N/A,RM160700QQ,V,Row not found in BIPCCR*
CHANGE,923,5921887,1,8,11/1/2015,7/28/2017,1/1/1900,RES,R,F,4,36,37.44,3,64,N/A,RM160700QU,V,Row not found in BIPCCR*
CHANGE,923,6022107,1,2,9/2/2014,8/19/2017,1/1/1900,RES,R,F,4,30,31.2,3,64,N/A,RM160700QX,V,Row not found in BIPCCR*
CHANGE,923,6126106,1,7,10/1/2015,8/5/2017,1/1/1900,RES,R,F,1,21,21.84,3,64,N/A,RM160700R2,V,Row not found in BIPCCR*
CHANGE,923,6139471,1,4,1/1/2015,7/21/2017,1/1/1900,RES,R,F,1,92,101.2,3,64,N/A,RM160700R3,V,Row not found in BIPCCR*
CHANGE,923,6319966,1,3,1/1/2015,8/3/2017,1/1/1900,RES,R,F,4,116,127.6,3,64,N/A,RM160700R8,V,Row not found in BIPCCR*
CHANGE,923,6380422,1,3,9/1/2014,7/21/2017,1/1/1900,RES,R,F,1,45,46.8,3,64,N/A,RM160700R9,V,Row not found in BIPCCR*
CHANGE,923,6477996,1,3,9/1/2014,7/21/2017,1/1/1900,RES,R,F,1,63,69.3,3,64,N/A,RM160700RD,V,Row not found in BIPCCR*
CHANGE,923,7037807,1,3,1/2/2015,7/21/2017,1/1/1900,RES,R,F,1,69,71.76,3,64,N/A,RM160700RL,V,Row not found in BIPCCR*
